listing_id,amenity_id,amenity_type
210316,47,TV with standard cable
210316,8,Backyard
210316,9,Wifi
210316,80,Keypad
210316,82,Room-darkening shades
210316,39,Bed linens
210316,10,First aid kit
210316,11,Hair dryer
210316,12,Cooking basics
210316,13,Luggage dropoff allowed
210316,14,Dishwasher
210316,67,Pocket wifi
210316,94,Cleaning before checkout
210316,16,Iron
210316,17,Refrigerator
210316,48,BBQ grill
210316,95,Hot tub
210316,18,Long term stays allowed
210316,19,Carbon monoxide alarm
210316,49,Cable TV
210316,41,Air conditioning
210316,20,Microwave
210316,21,Kitchen
210316,44,Security cameras on property
210316,96,Changing table
210316,22,Hangers
210316,23,Dryer
210316,24,Stove
210316,27,Oven
210316,28,Fire extinguisher
210316,42,Private entrance
210316,29,Washer
210316,30,Free street parking
210316,31,Dishes and silverware
210316,32,Heating
210316,33,Hot water
210316,34,Smoke alarm
210316,35,Patio or balcony
210316,97,Breakfast
210316,37,Indoor fireplace
217142,2,Free parking on premises
217142,3,Coffee maker
217142,4,Essentials
217142,5,Pack \u2019n Play/travel crib
217142,6,Shampoo
217142,7,Dedicated workspace
217142,47,TV with standard cable
217142,9,Wifi
217142,11,Hair dryer
217142,12,Cooking basics
217142,98,Elevator
217142,16,Iron
217142,17,Refrigerator
217142,95,Hot tub
217142,18,Long term stays allowed
217142,19,Carbon monoxide alarm
217142,49,Cable TV
217142,41,Air conditioning
217142,20,Microwave
217142,21,Kitchen
217142,99,Pool
217142,22,Hangers
217142,23,Dryer
217142,25,High chair
217142,29,Washer
217142,31,Dishes and silverware
217142,32,Heating
217142,100,Gym
217142,33,Hot water
217142,34,Smoke alarm
217142,35,Patio or balcony
217142,36,Host greets you
224763,2,Free parking on premises
224763,3,Coffee maker
224763,4,Essentials
224763,5,Pack \u2019n Play/travel crib
224763,6,Shampoo
224763,7,Dedicated workspace
224763,47,TV with standard cable
224763,9,Wifi
224763,11,Hair dryer
224763,98,Elevator
224763,16,Iron
224763,95,Hot tub
224763,18,Long term stays allowed
224763,19,Carbon monoxide alarm
224763,49,Cable TV
224763,41,Air conditioning
224763,20,Microwave
224763,21,Kitchen
224763,99,Pool
224763,22,Hangers
224763,23,Dryer
224763,25,High chair
224763,29,Washer
224763,31,Dishes and silverware
224763,32,Heating
224763,100,Gym
224763,33,Hot water
224763,34,Smoke alarm
224763,36,Host greets you
226536,3,Coffee maker
226536,4,Essentials
226536,38,Extra pillows and blankets
226536,6,Shampoo
226536,7,Dedicated workspace
226536,53,Conditioner
226536,8,Backyard
226536,9,Wifi
226536,39,Bed linens
226536,10,First aid kit
226536,11,Hair dryer
226536,61,Lockbox
226536,17,Refrigerator
226536,18,Long term stays allowed
226536,19,Carbon monoxide alarm
226536,20,Microwave
226536,86,Hot water kettle
226536,22,Hangers
226536,28,Fire extinguisher
226536,30,Free street parking
226536,31,Dishes and silverware
226536,32,Heating
226536,33,Hot water
226536,34,Smoke alarm
226536,35,Patio or balcony
226677,2,Free parking on premises
226677,3,Coffee maker
226677,4,Essentials
226677,101,Paid parking on premises
226677,6,Shampoo
226677,7,Dedicated workspace
226677,43,Lock on bedroom door
226677,9,Wifi
226677,10,First aid kit
226677,11,Hair dryer
226677,12,Cooking basics
226677,16,Iron
226677,17,Refrigerator
226677,18,Long term stays allowed
226677,41,Air conditioning
226677,20,Microwave
226677,21,Kitchen
226677,44,Security cameras on property
226677,22,Hangers
226677,23,Dryer
226677,24,Stove
226677,27,Oven
226677,28,Fire extinguisher
226677,29,Washer
226677,30,Free street parking
226677,31,Dishes and silverware
226677,32,Heating
226677,33,Hot water
226677,34,Smoke alarm
226677,35,Patio or balcony
226677,36,Host greets you
233502,2,Free parking on premises
233502,9,Wifi
233502,18,Long term stays allowed
233502,51,Single level home
233502,32,Heating
233502,40,TV
241016,4,Essentials
241016,6,Shampoo
241016,7,Dedicated workspace
241016,9,Wifi
241016,11,Hair dryer
241016,13,Luggage dropoff allowed
241016,14,Dishwasher
241016,40,TV
241016,16,Iron
241016,61,Lockbox
241016,41,Air conditioning
241016,21,Kitchen
241016,22,Hangers
241016,23,Dryer
241016,24,Stove
241016,27,Oven
241016,28,Fire extinguisher
241016,29,Washer
241016,30,Free street parking
241016,32,Heating
241016,33,Hot water
241016,34,Smoke alarm
241016,37,Indoor fireplace
241032,4,Essentials
241032,6,Shampoo
241032,7,Dedicated workspace
241032,47,TV with standard cable
241032,9,Wifi
241032,11,Hair dryer
241032,12,Cooking basics
241032,16,Iron
241032,18,Long term stays allowed
241032,49,Cable TV
241032,41,Air conditioning
241032,21,Kitchen
241032,22,Hangers
241032,23,Dryer
241032,24,Stove
241032,27,Oven
241032,28,Fire extinguisher
241032,29,Washer
241032,30,Free street parking
241032,32,Heating
241032,33,Hot water
241032,34,Smoke alarm
254340,2,Free parking on premises
254340,3,Coffee maker
254340,90,Baby safety gates
254340,4,Essentials
254340,5,Pack \u2019n Play/travel crib
254340,6,Shampoo
254340,7,Dedicated workspace
254340,47,TV with standard cable
254340,8,Backyard
254340,9,Wifi
254340,10,First aid kit
254340,11,Hair dryer
254340,12,Cooking basics
254340,15,Children\u2019s books and toys
254340,16,Iron
254340,61,Lockbox
254340,17,Refrigerator
254340,18,Long term stays allowed
254340,19,Carbon monoxide alarm
254340,49,Cable TV
254340,20,Microwave
254340,21,Kitchen
254340,22,Hangers
254340,23,Dryer
254340,24,Stove
254340,26,Lake access
254340,27,Oven
254340,28,Fire extinguisher
254340,42,Private entrance
254340,29,Washer
254340,30,Free street parking
254340,31,Dishes and silverware
254340,32,Heating
254340,33,Hot water
254340,34,Smoke alarm
260613,102,Self check-in
260613,2,Free parking on premises
260613,28,Fire extinguisher
260613,9,Wifi
260613,3,Coffee maker
260613,19,Carbon monoxide alarm
